FR0000060402;05/04/22;44.90;45.52;43.76;43.90;79146
FR0000120404;05/04/22;28.99;29.14;28.13;28.39;560609
FR0000045072;05/04/22;10.80;10.828;10.18;10.318;12861114
FR0010340141;05/04/22;132.05;132.35;126.05;128.00;120244
FR0000031122;05/04/22;4.107;4.152;4.015;4.04;1716215
FR0000120073;05/04/22;161.42;162.18;159.32;161.74;703988
NL0000235190;05/04/22;109.58;110.08;103.50;105.24;2140458
FR0004180537;05/04/22;49.00;49.00;48.90;49.00;20414
FR0010313833;05/04/22;109.40;113.70;109.25;110.50;265105
FR0013258662;05/04/22;12.24;12.48;12.02;12.02;142531
FR0010220475;05/04/22;21.58;21.94;20.71;20.79;1562863
FR0000033219;05/04/22;152.00;152.00;147.60;147.80;4098
FR0014004L86;05/04/22;146.40;148.50;145.80;147.90;93469
FR0004125920;05/04/22;62.00;62.70;60.80;61.15;200655
FR0014005AL0;05/04/22;29.80;30.04;29.20;29.26;38301
LU0569974404;05/04/22;40.00;40.11;37.87;38.40;487351
FR0014003U94;05/04/22;7.245;7.245;7.00;7.00;89459
FR0000039216;05/04/22;650.00;650.00;650.00;650.00;1
FR0010481960;05/04/22;113.60;117.80;113.60;117.80;9481
FR0000076952;05/04/22;5050.00;5050.00;5050.00;5050.00;2
FR0000071946;05/04/22;137.00;138.20;134.80;134.80;32798
FR0000051732;05/04/22;25.17;25.22;23.80;23.86;737721
MC0000031187;05/04/22;65.80;66.00;64.80;64.80;607
FR0004023208;05/04/22;67.40;67.40;66.00;66.40;1761
FR0000120966;05/04/22;45.66;46.44;45.64;45.92;39941
FR0000035164;05/04/22;14.22;14.22;13.52;13.52;58997
FR0013280286;05/04/22;99.20;100.60;99.08;100.55;104656
FR0014003FE9;05/04/22;14.75;14.79;14.03;14.03;20650
FR0000120644;05/04/22;50.00;50.56;49.465;50.56;1247900
FR0000131104;05/04/22;51.25;51.50;48.78;49.00;5970046
FR0000039299;05/04/22;4.814;4.814;4.63;4.638;985098
FR0000061137;05/04/22;602.00;602.00;582.00;582.00;55
FR0006174348;05/04/22;25.71;25.99;25.42;25.59;810060
FR0000120172;05/04/22;19.29;19.42;18.80;18.965;4017292
FR0000125338;05/04/22;204.30;206.00;198.75;200.80;350848
FR0010828137;05/04/22;15.00;15.16;14.74;14.78;63509
US1491231015;05/04/22;197.00;198.00;197.00;197.00;44
FR0000045601;05/04/22;880.00;880.00;850.00;850.00;21
FR0000130403;05/04/22;633.00;638.00;624.00;628.50;8165
FR0000120222;05/04/22;21.84;21.86;21.82;21.84;305604
NL0010949392;05/04/22;5.38;5.92;5.12;5.92;2832
FR0000125585;05/04/22;16.43;16.73;16.19;16.39;200880
FR0010667147;05/04/22;11.00;11.15;10.75;10.77;290934
FR0000064578;05/04/22;72.65;72.95;70.85;71.60;122915
FR0000060303;05/04/22;15.95;16.00;15.30;15.65;8019
